dmo;coordinates
A.T.L.del Cuneese valli alpine e città d’arte;44.39169846566252, 7.545363314024803
Agenzia Campania Turismo;40.85792732321478, 14.283900823046022
Agenzia Turistica Locale della Provincia di Novara;45.44431, 8.61748
Agenzia Turistica Locale Distretto Turistico dei Laghi;45.883634304977804, 8.541859126098887
Alpe di Siusi Marketing;46.517290362022344, 11.502325727112046
Alta Val Venosta;46.69075254429379, 10.543157252120766
Amalfi Coast Convention Bureau;40.65009667259217, 14.611794205025936
Ancona Tourism;43.616777711773494, 13.518884797225343
APT Alpe Cimbra;45.916460063295425, 11.170351774252449
APT Basilicata;40.63197880000011, 15.788682570552277
APT Livigno;46.52276257723174, 10.124413058893946
ApT San Martino di Castrozza Primiero e Vanoi Soc. Coop.;46.17426048861933, 11.828583895210173
APT Servizi Emilia-Romagna;44.50762942614331, 11.364443648623734
APT Val di Fassa;46.476259061779224, 11.738653729446423
APT Valli di Sole, Peio e Rabbi Scpa;46.354224679121586, 10.91476989728586
APT Valsugana Lagorai;46.008894227438354, 11.306388139649933
ARIA S.p.A. Azienda Regionale per l'Innovazione e gli Acquisti;45.491237382115656, 9.194190842404653
Associazione Distretto Turistico Costa d'Amalfi;40.65151617215196, 14.642547441894745
ATL Alexala;44.91305589779972, 8.615171894906114
ATL Biella Valsesia Vercelli;45.56247071253945, 8.056429418723024
Azienda Autonoma di Soggiorno e Turismo Termoli;42.00089092596429, 14.993315835462104
Azienda di soggiorno di Merano;46.6706144411704, 11.162084897301211
Azienda di soggiorno e turismo di Bolzano;46.49527756501183, 11.354678097292682
Azienda per il Turismo Dolomiti Paganella SB;46.163762879016026, 11.003218627539523
Azienda per il Turismo Val di Non;46.43895624729183, 11.137399363319803
Bari Convention Bureau;41.11884712448882, 16.87111539700521
Bibione e San Michele al Tagliamento;45.76389726372548, 12.994962654981421
Bologna Welcome;44.49398956306286, 11.343175372368988
Borghi Etruschi ETS;41.9981504793392, 12.100283490915343
Budoni welcome;40.70885800356787, 9.699446372180134
Cammino del perdono;42.36270927918666, 13.384045997099545
Cavallino Treporti;45.453740388063906, 12.453802310735561
Città d'arte e ville venete del territorio trevigiano;45.664349875028456, 12.245817426142006
